ID;2015_WTR;2015_VEG;2015_MGV;2015_HUM;2018_WTR;2018_VEG;2018_MGV;2018_HUM;2028_WTR;2028_VEG;2028_MGV;2028_HUM
1;380.53;174.81;42.32;1448.75;266.32;690.84;266.19;1337.25;0.00;957.16;266.19;965.58
2;456.30;121.01;0.00;1454.74;327.76;648.67;985.99;93.15;0.00;976.43;985.99;0.00
3;314.39;33.88;0.00;1672.32;0.00;1126.99;1075.17;579.30;0.00;1126.99;1075.17;0.00
4;195.15;175.29;78.63;1584.02;107.97;646.08;1455.51;355.77;0.00;754.05;1455.51;0.00
5;0.00;312.28;10.27;1024.40;0.00;841.80;1293.26;628.09;0.00;841.80;1293.26;0.00
6;0.00;332.77;540.27;827.02;0.00;337.07;1555.75;5.74;0.00;337.07;1555.75;0.00
7;0.00;133.74;0.00;605.21;89.78;90.47;743.15;94.81;389.05;0.00;534.35;0.00
8;0.00;28.24;67.93;503.43;27.46;67.93;779.46;5.75;118.99;0.00;755.86;0.00
9;0.00;247.75;195.02;213.37;235.62;199.76;432.13;5.74;867.51;0.00;0.00;0.00
10;63.84;66.00;426.95;67.01;349.66;89.92;518.22;5.75;957.80;0.00;0.00;0.00
11;90.16;432.84;381.03;5.71;348.37;131.12;619.99;69.20;1099.48;0.00;0.00;280.83
12;89.99;625.57;418.54;5.99;286.09;537.16;600.73;6.03;939.76;0.00;484.09;6.16
13;114.13;1062.02;604.08;5.97;166.06;844.96;1033.38;6.74;339.16;671.86;1030.81;9.31
14;107.51;1442.94;263.68;5.54;319.84;810.16;1016.46;6.02;1027.61;102.39;1014.86;7.62
15;167.67;1209.99;819.12;6.00;360.65;1021.84;1189.63;5.56;1003.92;378.57;1189.63;4.09
16;283.64;1111.38;772.37;5.93;242.60;842.72;1382.66;3.56;105.80;979.52;1382.66;0.00
17;88.49;1186.66;794.96;5.50;260.55;734.15;1446.15;5.95;834.08;160.62;1444.65;7.45
18;168.93;1088.70;879.00;5.55;247.82;1059.70;1052.89;5.59;510.79;796.73;1052.76;5.72
19;594.91;1128.56;345.75;5.22;287.48;1286.48;794.71;5.59;0.00;1573.96;793.48;6.82
20;226.47;1270.48;506.09;58.94;313.32;1309.74;724.44;5.59;602.82;1020.24;724.44;0.00
21;1018.93;505.84;447.53;82.23;347.20;1333.72;685.41;5.60;0.00;1680.92;685.41;0.00
22;525.95;1045.18;422.72;76.06;287.61;1424.06;510.88;4.95;0.00;1711.67;510.88;0.00
23;707.17;867.95;477.13;35.96;252.74;1429.70;596.57;5.60;0.00;1682.44;596.57;0.00
24;1261.67;308.22;363.89;150.11;255.49;1346.95;640.68;5.91;0.00;1602.44;640.68;0.00
25;1056.93;708.22;119.08;222.14;258.65;1121.58;820.71;5.59;0.00;1380.23;820.71;0.00
26;1542.40;401.17;54.17;63.88;242.92;1505.20;425.35;5.70;0.00;1748.12;425.35;0.00
27;1706.57;183.58;88.73;65.43;0.00;1448.04;700.61;5.76;0.00;1448.04;700.61;0.00
28;1873.84;108.10;0.00;51.18;221.24;1594.78;369.87;5.76;0.00;1816.02;369.87;0.00
29;1439.05;591.10;41.78;5.34;128.45;1589.32;482.46;5.77;0.00;1717.77;481.03;7.20
30;1263.72;813.35;0.00;9.45;178.99;1745.24;284.41;5.77;0.00;1924.23;284.41;0.00
31;1725.57;398.07;9.89;5.67;355.02;1610.54;188.52;5.74;0.00;1965.56;188.29;5.97
32;1509.58;607.88;86.84;5.73;206.08;1375.44;505.85;179.24;0.00;1581.52;0.00;757.61
33;1402.00;561.99;62.71;242.67;135.26;1429.01;325.38;214.68;0.00;1564.27;325.38;121.38
34;1926.42;230.83;86.76;32.46;0.00;1929.04;102.72;46.30;0.00;1929.04;56.59;92.43
35;1755.30;325.68;117.40;5.70;50.48;1740.36;364.05;5.75;0.00;1790.84;363.88;5.92
36;1212.76;950.04;91.73;5.71;0.00;1867.94;319.37;13.33;0.00;1867.94;293.97;38.73
37;2078.68;85.93;0.00;5.76;0.00;1709.18;356.50;98.04;0.00;1709.18;48.90;405.64
38;1785.33;240.94;207.00;5.77;0.00;1755.04;352.88;5.75;0.00;1755.04;352.88;5.68
39;1659.72;309.21;264.84;5.71;0.00;1685.79;412.41;46.36;0.00;1685.79;276.91;181.86
40;1711.78;346.30;94.26;3.57;8.38;1655.84;345.64;195.72;0.00;1664.22;0.00;836.22
